Source,Destination,Protocol,Length,Src_Port,Dst_Port,Timestamp,TCP_Flags,Label,Source_IP,Destination_IP
192.168.137.137,192.168.137.139,2,1066,50595,80,1717489764.8161829,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,50595,80,1717489764.816183,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,50595,80,1717489764.816183,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,50595,80,1717489764.816842,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,41805,80,1717489764.8168423,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,41805,80,1717489764.8168423,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,41805,80,1717489764.8168426,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,41805,80,1717489764.8177896,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,46740,80,1717489764.8177898,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,46740,80,1717489764.8177898,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,46740,80,1717489764.81779,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,46740,80,1717489764.8184593,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,48285,80,1717489764.8184597,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,48285,80,1717489764.8188052,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,48285,80,1717489764.8188055,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,48285,80,1717489764.8194933,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,56629,80,1717489764.8194935,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,56629,80,1717489764.8198035,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,56629,80,1717489764.8198037,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,56629,80,1717489764.8201404,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,43463,80,1717489764.8201406,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,43463,80,1717489764.8204298,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,43463,80,1717489764.82043,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,43463,80,1717489764.8209753,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,55954,80,1717489764.8209755,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,55954,80,1717489764.8209758,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,55954,80,1717489764.8209758,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,55954,80,1717489764.8216505,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,53230,80,1717489764.8216507,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,53230,80,1717489764.821651,,UDP Flood,3232270729,3232270731
