Source,Destination,Protocol,Length,Src_Port,Dst_Port,Timestamp,TCP_Flags,Label,Source_IP,Destination_IP
192.168.137.139,34.107.221.82,1,54,48746,80,1717495226.2730775,16.0,Other,3232270731,577494354
34.107.221.82,192.168.137.139,1,60,80,48746,1717495226.2734692,16.0,Other,577494354,3232270731
192.168.137.139,34.107.221.82,1,54,48758,80,1717495226.5291977,16.0,Other,3232270731,577494354
34.107.221.82,192.168.137.139,1,60,80,48758,1717495226.5317202,16.0,Other,577494354,3232270731
192.168.137.137,192.168.137.139,1,74,33892,80,1717495235.6714225,2.0,Other,3232270729,3232270731
192.168.137.139,192.168.137.137,1,54,80,33892,1717495235.6714916,20.0,Other,3232270731,3232270729
192.168.137.139,34.107.221.82,1,54,48746,80,1717495236.5131474,16.0,Other,3232270731,577494354
34.107.221.82,192.168.137.139,1,60,80,48746,1717495236.5137408,16.0,Other,577494354,3232270731
192.168.137.139,34.107.221.82,1,54,48758,80,1717495236.7691247,16.0,Other,3232270731,577494354
34.107.221.82,192.168.137.139,1,60,80,48758,1717495236.7698174,16.0,Other,577494354,3232270731
192.168.137.139,34.107.221.82,1,54,48746,80,1717495246.7545712,16.0,Other,3232270731,577494354
34.107.221.82,192.168.137.139,1,60,80,48746,1717495246.7550516,16.0,Other,577494354,3232270731
192.168.137.139,34.107.221.82,1,54,48758,80,1717495247.0091174,16.0,Other,3232270731,577494354
34.107.221.82,192.168.137.139,1,60,80,48758,1717495247.009583,16.0,Other,577494354,3232270731
192.168.137.137,192.168.137.139,1,74,33660,80,1717495250.703108,2.0,Other,3232270729,3232270731
192.168.137.139,192.168.137.137,1,54,80,33660,1717495250.703172,20.0,Other,3232270731,3232270729
192.168.161.1,239.255.255.250,2,217,62080,1900,1717495252.5363114,,UDP Flood,3232276737,4026531834
192.168.161.1,239.255.255.250,2,217,62083,1900,1717495252.5625134,,UDP Flood,3232276737,4026531834
192.168.161.1,239.255.255.250,2,217,62080,1900,1717495253.5491908,,UDP Flood,3232276737,4026531834
192.168.161.1,239.255.255.250,2,217,62083,1900,1717495253.5660806,,UDP Flood,3232276737,4026531834
192.168.161.1,239.255.255.250,2,217,62080,1900,1717495254.5637112,,UDP Flood,3232276737,4026531834
192.168.161.1,239.255.255.250,2,217,62083,1900,1717495254.572815,,UDP Flood,3232276737,4026531834
192.168.137.139,34.117.188.166,1,93,45388,443,1717495255.2706573,24.0,Other,3232270731,578141350
192.168.137.139,34.117.188.166,1,78,45388,443,1717495255.270989,25.0,Other,3232270731,578141350
34.117.188.166,192.168.137.139,1,60,443,45388,1717495255.271579,16.0,Other,578141350,3232270731
34.117.188.166,192.168.137.139,1,60,443,45388,1717495255.2715793,16.0,Other,578141350,3232270731
34.117.188.166,192.168.137.139,1,60,443,45388,1717495255.2788844,25.0,Other,578141350,3232270731
192.168.137.139,34.117.188.166,1,54,45388,443,1717495255.2789152,16.0,Other,3232270731,578141350
192.168.161.1,239.255.255.250,2,217,62080,1900,1717495255.5715842,,UDP Flood,3232276737,4026531834
192.168.161.1,239.255.255.250,2,217,62083,1900,1717495255.5865,,UDP Flood,3232276737,4026531834
192.168.137.137,192.168.137.2,2,100,46284,53,1717495256.9681904,,UDP Flood,3232270729,3232270594
192.168.137.2,192.168.137.137,2,292,53,46284,1717495256.9732168,,UDP Flood,3232270594,3232270729
192.168.137.137,91.189.91.48,1,74,41630,80,1717495256.9859393,2.0,Other,3232270729,1539136304
192.168.137.139,34.107.221.82,1,54,48746,80,1717495256.9931343,16.0,Other,3232270731,577494354
34.107.221.82,192.168.137.139,1,60,80,48746,1717495256.993694,16.0,Other,577494354,3232270731
91.189.91.48,192.168.137.137,1,60,80,41630,1717495257.2258656,18.0,Other,1539136304,3232270729
192.168.137.137,91.189.91.48,1,60,41630,80,1717495257.2290118,16.0,Other,3232270729,1539136304
192.168.137.137,91.189.91.48,1,141,41630,80,1717495257.229012,24.0,Other,3232270729,1539136304
91.189.91.48,192.168.137.137,1,60,80,41630,1717495257.229012,16.0,Other,1539136304,3232270729
192.168.137.139,34.107.221.82,1,54,48758,80,1717495257.2520623,16.0,Other,3232270731,577494354
34.107.221.82,192.168.137.139,1,60,80,48758,1717495257.2525365,16.0,Other,577494354,3232270731
192.168.137.139,34.160.144.191,1,100,36824,443,1717495257.2834816,24.0,Other,3232270731,580948159
192.168.137.139,34.117.188.166,1,93,45394,443,1717495257.2838683,24.0,Other,3232270731,578141350
192.168.137.139,34.160.144.191,1,85,36824,443,1717495257.2844322,25.0,Other,3232270731,580948159
192.168.137.139,34.117.188.166,1,78,45394,443,1717495257.2853322,25.0,Other,3232270731,578141350
34.160.144.191,192.168.137.139,1,60,443,36824,1717495257.286206,16.0,Other,580948159,3232270731
34.117.188.166,192.168.137.139,1,60,443,45394,1717495257.2862065,16.0,Other,578141350,3232270731
34.160.144.191,192.168.137.139,1,60,443,36824,1717495257.2862065,16.0,Other,580948159,3232270731
34.117.188.166,192.168.137.139,1,60,443,45394,1717495257.2862065,16.0,Other,578141350,3232270731
34.160.144.191,192.168.137.139,1,60,443,36824,1717495257.2900155,25.0,Other,580948159,3232270731
192.168.137.139,34.160.144.191,1,54,36824,443,1717495257.2900455,16.0,Other,3232270731,580948159
34.117.188.166,192.168.137.139,1,60,443,45394,1717495257.3047214,25.0,Other,578141350,3232270731
192.168.137.139,34.117.188.166,1,54,45394,443,1717495257.3048105,16.0,Other,3232270731,578141350
91.189.91.48,192.168.137.137,1,243,80,41630,1717495257.4044123,25.0,Other,1539136304,3232270729
